Timestamp,Gaze State,Alarm Triggered
15:10:55,SLEEPING,NO
15:10:56,CENTER,NO
15:10:56,SLEEPING,NO
15:10:56,CENTER,NO
15:10:57,SLEEPING,NO
15:10:57,CENTER,NO
15:10:58,SLEEPING,NO
15:10:58,CENTER,NO
15:10:59,SLEEPING,NO
15:10:59,CENTER,NO
15:10:59,LEFT,NO
15:10:59,CENTER,NO
15:10:59,SLEEPING,NO
15:11:00,CENTER,NO
15:11:00,LEFT,NO
15:11:00,CENTER,NO
15:11:00,LEFT,NO
15:11:00,CENTER,NO
15:11:01,LEFT,NO
15:11:01,CENTER,NO
15:11:01,LEFT,NO
15:11:01,SLEEPING,NO
15:11:01,LEFT,NO
15:11:01,CENTER,NO
15:11:01,LEFT,NO
15:11:01,CENTER,NO
15:11:02,LEFT,NO
15:11:02,CENTER,NO
15:11:03,SLEEPING,NO
15:11:03,LEFT,NO
15:11:03,CENTER,NO
15:11:03,SLEEPING,NO
15:11:04,LEFT,NO
15:11:04,CENTER,NO
15:11:04,RIGHT,NO
15:11:05,CENTER,NO
15:11:05,SLEEPING,NO
15:11:05,LEFT,NO
15:11:05,CENTER,NO
15:11:06,SLEEPING,NO
15:11:07,CENTER,NO
15:11:08,SLEEPING,NO
15:11:08,CENTER,NO
15:11:08,SLEEPING,NO
15:11:08,CENTER,NO
15:11:08,SLEEPING,NO
15:11:08,CENTER,NO
15:11:09,SLEEPING,NO
